Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,25200.000000,25200.000000,24100.000000,24100.000000,1157.629150,15346950
2016-01-05,24040.000000,24360.000000,23720.000000,24160.000000,1160.511230,10800100
2016-01-06,24160.000000,24160.000000,23360.000000,23500.000000,1128.808350,18337600
2016-01-07,23320.000000,23660.000000,23020.000000,23260.000000,1117.280273,14119400
2016-01-08,23260.000000,23720.000000,23260.000000,23420.000000,1124.965698,12888150
2016-01-11,23120.000000,23320.000000,22920.000000,23040.000000,1106.712646,12063850
2016-01-12,22960.000000,23320.000000,22880.000000,22920.000000,1100.948608,10314150
2016-01-13,23060.000000,23180.000000,22960.000000,22960.000000,1102.869751,7165800
2016-01-14,22620.000000,22840.000000,22620.000000,22760.000000,1093.263062,10451100
2016-01-15,22800.000000,23040.000000,22480.000000,22640.000000,1087.498779,10473200
2016-01-18,21760.000000,22660.000000,21760.000000,22520.000000,1081.734741,16010700
2016-01-19,22560.000000,23420.000000,22560.000000,23420.000000,1124.965698,10362100
2016-01-20,23200.000000,23200.000000,22640.000000,22760.000000,1093.263062,8352600
2016-01-21,22660.000000,23100.000000,22500.000000,22620.000000,1086.538330,9517600
2016-01-22,22900.000000,23360.000000,22900.000000,23360.000000,1122.083740,7376400
2016-01-25,23440.000000,23520.000000,23120.000000,23240.000000,1116.319580,7995650
2016-01-26,23100.000000,23140.000000,22720.000000,22740.000000,1092.302368,7619950
2016-01-27,22520.000000,23500.000000,22520.000000,23500.000000,1128.808350,13811850
2016-01-28,23280.000000,23360.000000,22780.000000,22900.000000,1099.987793,15795600
2016-01-29,22800.000000,23000.000000,22320.000000,23000.000000,1104.791382,21849150
2016-02-01,23040.000000,23260.000000,23020.000000,23260.000000,1117.280273,12998950
2016-02-02,23220.000000,23320.000000,22940.000000,23120.000000,1110.555420,8317400
2016-02-03,23000.000000,23040.000000,22740.000000,22920.000000,1100.948608,8725350
2016-02-04,23000.000000,23220.000000,22960.000000,23120.000000,1110.555420,12397950
2016-02-05,23120.000000,23380.000000,23120.000000,23280.000000,1118.240845,9404700
2016-02-11,22360.000000,22740.000000,22360.000000,22600.000000,1085.577515,15263100
2016-02-12,22600.000000,23020.000000,22440.000000,22600.000000,1085.577515,12811600
2016-02-15,23080.000000,23200.000000,22880.000000,23080.000000,1108.633911,9157300
2016-02-16,23160.000000,23580.000000,23140.000000,23360.000000,1122.083740,9020050
